,Season,Week_Number,Week_Name,Baker,Gender,Age,Signature_Handshake,Technical_Rank,Showstopper_Handshake,Favorite,Least_Favorite,Star_Baker,Eliminated,Winner,signature,showstopper
956,10,1,Cake,Priya,F,34,0,7,0,0.0,0,0,0,0,Sunshine Fruit Cake,Once Upon a Time Cake
957,10,1,Cake,Rosie,F,28,0,2,0,0.0,0,0,0,0,Spicy Chai Loaf,Magical Jungle Cake
958,10,1,Cake,Steph,F,28,0,3,0,1.0,0,0,0,0,Great Grandma's Fruit Cake,A Sundae on the Beach Cake
959,10,2,Biscuits,Alice,F,29,0,1,0,1.0,0,1,0,0,Honeycomb Peanut Mallow Bars,Chocolate and Coconut New Zealand Lamb
960,10,2,Biscuits,Amelia,F,24,0,9,0,0.0,1,0,0,0,"Pistachio, Almond & Raisin Nougat Biscuit Bars",Swimming with Dolphins
962,10,2,Biscuits,David,M,36,0,2,0,1.0,0,0,0,1,Coco-nutty Chocolate Bars,Wedding Spray
963,10,2,Biscuits,Helena,F,40,0,12,0,0.0,0,0,0,0,Wicked Witch Fingers,Caught in a Spider's Web
964,10,2,Biscuits,Henry,M,20,0,6,0,0.0,0,0,0,0,"Coffee, Cardamom & Hazelnut Bars",Chapel Organ
965,10,2,Biscuits,Jamie,M,20,0,11,0,0.0,1,0,1,0,Cherry Caramel Shortbread Biscuit Bars,Biscuit Guitar
966,10,2,Biscuits,Michael,M,26,0,4,0,0.0,0,0,0,0,Lemon & Rosemary Biscuit Bars,Hamish the Highland Cow
967,10,2,Biscuits,Michelle,F,35,0,8,0,0.0,0,0,0,0,Bakewell Bars,Dewi y Ddraig Cymraeg - Dewi the Welsh Dragon
968,10,2,Biscuits,Phil,M,56,0,3,0,0.0,0,0,0,0,"Orange, Cranberry & White Chocolate Fudge Bars",Tina the Tortoise
969,10,2,Biscuits,Priya,F,34,0,7,0,0.0,0,0,0,0,Ruby Barfi Biscuit Bars,The Beast of Rocky Mountain
970,10,2,Biscuits,Rosie,F,28,0,5,0,1.0,0,0,0,0,Virgin Mojito Biscuit Bars,My Favourite Chicken – A Celebration of Legs
971,10,2,Biscuits,Steph,F,28,0,10,0,0.0,0,0,0,0,"Chocolate, Caramel Macchiato Biscuit Bars",Ginger the Cat
972,10,3,Bread,Alice,F,29,0,7,0,0.0,1,0,0,0,Baklava Tear & Share,Global Bread
973,10,3,Bread,Amelia,F,24,0,11,0,0.0,1,0,1,0,Chorizo Brunch Tear & Share,Caterpillar Transformation
975,10,3,Bread,David,M,36,0,2,0,0.0,0,0,0,1,Cinnamon Swirl Tear & Share,Trio of African Masks
976,10,3,Bread,Helena,F,40,0,8,0,0.0,0,0,0,0,Frosted Cinnamon and Pecan Tear & Share,Every Bread is Halloween
977,10,3,Bread,Henry,M,20,0,1,0,0.0,1,0,0,0,Chicken and Pesto Tear & Share,Herb Garden
979,10,3,Bread,Michael,M,26,1,6,0,1.0,0,1,0,0,Keralan Star Bread Tear & Share,Mediterranean Camp Fire
980,10,3,Bread,Michelle,F,35,0,5,0,0.0,0,0,0,0,Noson Gaws (Cheese Night) Tear & Share,Gardd Ni (Our Garden)
981,10,3,Bread,Phil,M,56,0,10,0,0.0,0,0,0,0,Pancetta and Cheese Focaccia Tear & Share,Winner's Wreath
982,10,3,Bread,Priya,F,34,0,4,0,0.0,0,0,0,0,Smokey Jalapeño Tear & Share,Bird Boules
983,10,3,Bread,Rosie,F,28,0,9,0,0.0,0,0,0,0,Chilli and Manchego Tear & Share,Bread Safari
984,10,3,Bread,Steph,F,28,0,3,0,1.0,0,0,0,0,Sun-Dried Tomato and Pesto Star Tear & Share,Hand-Tied Bouquet of Flowers
985,10,4,Dairy,Alice,F,29,0,8,0,0.0,0,0,0,0,Leafy Yoghurt Cake,Afternoon Tea
988,10,4,Dairy,David,M,36,0,2,0,1.0,0,0,0,1,A Kick of Limoncello Cake,Flavours of India Mishti
989,10,4,Dairy,Helena,F,40,0,9,0,0.0,0,0,0,0,Ghost Cake,Ye Olde English Sweet Shoppe Mishti
990,10,4,Dairy,Henry,M,20,0,3,0,0.0,0,0,0,0,Ode to a German Breakfast Cake,Seaside Mishti
992,10,4,Dairy,Michael,M,26,0,7,0,0.0,1,0,0,0,Cheesecake Surprise,Flag of India Mishti
993,10,4,Dairy,Michelle,F,35,0,5,0,0.0,0,0,0,0,Homely Rhubarb Cake,Home Comforts Mishti
